State,District,Population,active_infs,new_infs,gamma,gamma_d,beta,delta,repr_ratio
Andhra_Pradesh,Srikakulam,2861294,8.959183673469386,0.2857142857142857,0.04713082447849792,0.004629345640273861,0.13670947648712478,0.445,2.9006383401906017
Maharashtra,Aurangabad,4606386,618.6122448979592,45.0,0.0935998967901871,0.006182935353441059,0.10445069076880086,0.495,1.1159274139258597
Andhra_Pradesh,Prakasam,3733488,3.1836734693877555,0.14285714285714285,0.06579319751311785,0.0009606295144586962,0.1352168637129764,0.26,2.0551800007290546
Maharashtra,Kolhapur,4223670,94.57142857142857,30.714285714285715,0.017731690026521987,0.0012526518762634071,0.3324240106994977,0.435,18.747452171918074
Bihar,Patna,7071903,111.95918367346938,6.571428571428571,0.06521790827464306,0.0005437239360597244,0.1445627153463434,0.495,2.2166107311747356
Gujarat,Surat,8350343,342.44897959183675,32.0,0.09756222657304521,0.0038648072794735147,0.10622200805452457,0.135,1.088761622050474
Andhra_Pradesh,Vizianagaram,2433613,9.22448979591837,1.1428571428571428,0.050481049812662444,0.002488176401609588,0.12226448234771234,0.465,2.4219877122492814
Maharashtra,Solapur,4787647,277.91836734693874,27.714285714285715,0.063653048000588,0.008629143711730956,0.10773172016091237,0.09,1.6924832909795173
Odisha,Ganjam,3897162,196.75510204081633,6.571428571428571,0.1378916409843338,0.0009936777350109498,0.05087188079820754,0.295,0.36892650225249857
Tamil_Nadu,Kancheepuram,5375809,94.81632653061226,14.0,0.0628869967036122,0.0004958801412363868,0.07270483810189572,0.495,1.15611878310162
Odisha,Khordha,2651917,15.326530612244897,3.142857142857143,0.0582823926642973,0.0017444616649988588,0.1833560203343074,0.495,3.145993360128948
Andhra_Pradesh,Krishna,4836115,109.20408163265306,2.0,0.03558327113234445,0.002524056884052456,0.015889481390241877,0.495,0.44654358311084763
Kerala,Thiruvananthapuram,3362979,4.448979591836735,3.142857142857143,0.066951586014242,0.0022320838123198843,0.45951144613351225,0.365,6.863339220011376
Uttar_Pradesh,Kanpur_Nagar,4988132,53.02040816326531,2.5714285714285716,0.053289452940096446,0.006576792169482313,-0.08252675133900596,0.495,-1.5486507514306
Tamil_Nadu,Madurai,3522087,68.44897959183673,9.857142857142858,0.07173527125210165,0.0008697603687469372,0.17636999628451802,0.21,2.4586231181129166
Maharashtra,Satara,3190531,79.95918367346938,24.857142857142858,0.06062671620448156,0.0038087935567158613,0.08894842007661231,0.105,1.467148901428331
Maharashtra,Sangli,3055687,23.244897959183675,4.285714285714286,0.06882516482456348,0.0029994028590708505,0.16365689070855347,0.08,2.3778641304487635
Madhya_Pradesh,Indore,4232165,1340.8367346938776,71.28571428571429,0.04830844836581922,0.0016970227116457554,0.073200641042427,0.185,1.5152761787774647
Karnataka,Dakshina_Kannada,2278916,32.224489795918366,2.2857142857142856,0.07980744795498447,0.001641867201121611,0.13131940030089798,0.495,1.6454529453813498
Tamil_Nadu,Virudhunagar,2131921,26.755102040816325,10.428571428571429,0.09891357399224933,0.00034851832026876634,0.26021508419883066,0.355,2.6307317964187664
Haryana,Faridabad,2331927,71.42857142857143,8.714285714285714,0.05109230014233284,0.004451042222393929,0.0916161406788033,0.495,1.793149660977862
Tamil_Nadu,Theni,1400617,43.285714285714285,2.857142857142857,0.04936834000771089,0.0008919771832040565,0.11309091028491346,0.495,2.290757806870753
Puducherry,Puducherry,1196990,10.081632653061222,4.0,0.08026329825875876,0.0,0.22024106239867863,0.09,2.7439822082647187
Karnataka,Belagavi,5352819,62.73469387755102,1.7142857142857142,0.04744715663859756,0.00022884566214297438,0.03764184631079786,0.21,0.79334250938394
Rajasthan,Jodhpur,4596008,279.02040816326524,28.571428571428573,0.09394317112754039,0.0002466118161032831,0.10065833562677608,0.495,1.0714811350163915
Karnataka,Kalaburagi,2978691,58.61224489795918,6.142857142857143,0.07565740718506316,0.0055052927629835125,0.1659241863591627,0.495,2.193099030651432
Karnataka,Udupi,1239220,22.122448979591834,13.857142857142858,0.09035723432542077,0.00019459749110541517,0.45840184867521167,0.495,5.0732169050712805
Tamil_Nadu,Cuddalore,2932641,98.44897959183672,1.2857142857142858,0.07390375691362218,0.00044743429523618893,-0.22731630381535825,0.16,-3.075842329383103
Tamil_Nadu,Thoothukkudi,1905099,66.48979591836735,13.142857142857142,0.1004958188002929,0.0005234270416067962,0.32721133839809874,0.32,3.2559696742044464
West_Bengal,South_24_Parganas,9485640,59.551020408163254,4.428571428571429,0.056725583654378915,0.0037677672973480025,0.10738060036354803,0.42,1.8929836141978384
Chhattisgarh,Raipur,5313458,0.32653061224489793,0.2857142857142857,0.08503611633119189,0.0008788606373022504,0.2764146711217468,0.47,3.25055615246102
